0,SteveDaines,The honor was all mine Kandi is an amazing representative of and our great state MontanaProud,0.7000000000000001,"['kandi', 'amazing representative', 'great state', 'montanaproud']",R,Montana 
459,SenGaryPeters,Great to see the Manistee ISD amp raising awareness about opportunities for pursuing successful career paths I will continue to push for expanding career and technical education and apprenticeship opportunities for students to get good paying in demand jobs,0.5625,"['manistee isd', 'amp raising awareness', 'successful career paths', 'technical education', 'apprenticeship opportunities', 'demand jobs']",D,Michigan
460,SenStabenow, We re here with to highlight how the president s budget is once again,0.0,['president s budget'],D,Michigan
461,SenStabenow, President Trump is proposing severe cuts to Medicaid and Medicare in his latest budget It s a continuation of his war to r,0.5,"['trump', 'severe cuts', 'medicaid', 'medicare']",D,Michigan
462,SenStabenow,While I have family rooting for both sides I ve got a good feeling that my Spartans will go on the road and BeatMichigan today GoGreen,0.7,"['good feeling', 'spartans', 'beatmichigan', 'gogreen']",D,Michigan
463,SenStabenow,Great to join my friend at FosterOurFuture2020 to discuss how agriculture is one of the most promising solutions to the ClimateCrisis,0.5,"['fosterourfuture2020', 'promising solutions', 'climatecrisis']",D,Michigan
464,SenStabenow, We are so honored to have two ag advocates and discussing the importance of innovation and researc,0.0,['ag advocates'],D,Michigan
465,SenAmyKlobuchar,Now that the Supporting Veterans in STEM Careers Act has been signed into law we can provide veterans with the tools to secure well paying jobs in science technology engineering and math through STEM career training,0.325,"['supporting veterans', 'stem careers', 'science technology engineering', 'stem', 'career training']",D,Minnesota
466,SenAmyKlobuchar,This disaster declaration will expedite much needed assistance to struggling communities who faced crop quality losses and lost income due to the extreme weather last year AK,-0.012499999999999997,"['disaster declaration', 'crop quality losses', 'extreme weather', 'ak']",D,Minnesota
467,SenAmyKlobuchar,Icebreaking capacity in the Great Lakes supports more than 90mil tons of cargo a yr A study found that in the 18 19 ice season businesses depending on the Great Lakes maritime industry lost over 1billion b c of delays caused by inadequate icebreaking,0.7000000000000001,"['icebreaking', 'lakes', '90mil tons', 'ice season businesses', 'lakes', 'maritime industry', '1billion b c']",D,Minnesota
468,SenAmyKlobuchar,Hate should have no place in our country and we must do all we can to put an end to attacks motivated by prejudice AK,-0.8,"['hate', 'ak']",D,Minnesota
469,SenAmyKlobuchar,Ensuring that families health care providers and local and state health departments across the country are prepared to detect prevent and treat the coronavirus must be our top priority AK,0.25,"['ensuring', 'families health care providers', 'state health departments', 'top priority', 'ak']",D,Minnesota
470,SenTinaSmith,Amazon warehouse workers in Shakopee Minnesota and across the country are being injured and killed on the job because of excessive work quotas and unreasonable speed requirements I m calling on Amazon to give its employees some relief,-0.225,"['amazon', 'warehouse workers', 'shakopee minnesota', 'excessive work quotas', 'unreasonable speed requirements', 'amazon']",D,Minnesota
471,SenTinaSmith,Thank you so much to for this I will always fight to make sure that all Americans no matter who they are or where they live have quality affordable health care,0.27878787878787875,"['thank', 'affordable health care']",D,Minnesota
472,SenTinaSmith,Nobody is above the law except President Trump and Roger Stone and,0.0,"['trump', 'roger stone']",D,Minnesota
473,SenTinaSmith,Who could be shocked tonight that this President is retaliating against Colonel Vindman and other people who dared tell the truth,-0.4125,"['who', 'colonel vindman']",D,Minnesota
474,SenTinaSmith,I m focused on figuring out solutions to the challenges I talk about with Minnesotans like student loan debt foreclosures and income inequality I talked about this and more with this morning,0.5,"['minnesotans', 'student loan debt foreclosures', 'income inequality']",D,Minnesota
475,RoyBlunt, thank you for being a huge supporter for special Olympics and thanks again stepup,0.3190476190476191,"['huge supporter', 'olympics']",R,Missouri
476,RoyBlunt, ParkU s recognition as a leader in military education has received national credibility for those currently serving amp,-0.05,"['parku', 's recognition', 'military education', 'national credibility']",R,Missouri
477,RoyBlunt, FEDERAL ASSISTANCE Missouri is set to receive additional technical assistance from the U S Department of Labor to help people w,0.0,"['federal assistance missouri', 'additional technical assistance', 's department', 'people w']",R,Missouri
478,RoyBlunt,Great to catch up with Joseph and his family today Joseph plays both basketball and tennis his basketball team is undefeated going into the state championship next month So proud of all you ve done as a athlete amp leader Joseph,0.5333333333333333,"['joseph', 'joseph', 'basketball team', 'state championship', 'athlete amp leader', 'joseph']",R,Missouri
479,RoyBlunt,is a cause my family and I care deeply about Their dedication to their athletes goes beyond sports Special Olympics also supports programs that promote inclusion amp provide critical health screenings,0.11904761904761905,"['olympics', 'supports programs', 'inclusion amp', 'critical health screenings']",R,Missouri
480,SenHawleyPress, has questions for about expanding access to broadband internet in Missouri,0.0,"['broadband internet', 'missouri']",R,Missouri
481,SenHawleyPress,NEW Sen Hawley sent a letter to the questioning the progress of its 176M award to Wisper ISP that was meant to expand broadband access to more than 60 000 locations across Missouri After two years little is known about where the project stands,0.14962121212121213,"['new sen hawley', '176m award', 'wisper isp', 'broadband access', 'missouri', 'project stands']",R,Missouri
482,SenHawleyPress,HAWLEY You re saying the metrics we ve used to measure success or progress when it comes to the Afhgan government every time it shows negative progress in your experience those metrics are either classified or abandoned INSPECTOR GENERAL That s correct,0.016666666666666673,"['hawley', 'afhgan', 'negative progress', 'inspector general']",R,Missouri
483,SenHawleyPress, NEW on a congressional Afghanistan meeting with a choice bit from Sen Hawley We ve invested a trillion dollars th,0.13636363636363635,"['new', 'afghanistan', 'choice bit', 'sen hawley', 'trillion dollars th']",R,Missouri
484,SenHawleyPress,The FTC lacks teeth Its jurisdiction is divided It wastes time in turf wars with And it has stood by as actors in digital markets violated the law to obtain monopoly power Read Sen Hawley s proposal to completely overhaul the FTC,-0.03333333333333333,"['ftc', 'lacks teeth', 'wastes time', 'turf wars', 'digital markets', 'monopoly power', 'read sen hawley', 's proposal', 'ftc']",R,Missouri
485,SenHydeSmith,Great to meet Young Farmers group today MS agriculture is strong and new trade agreements mean opportunities amp I are promoting MS grown rice for new trade pact with the United Kingdom,0.21559343434343434,"['young farmers group', 'ms', 'new trade agreements', 'opportunities amp', 'ms', 'new trade', 'kingdom']",R,Mississippi
486,SenHydeSmith,My staff was on hand for Chair Richard Howorth s visit to Lafayette HS in Oxford to deliver a STEM grant to teacher Cory Burt and students It is one of 14 education grants going to North Mississippi,0.0,"['chair richard howorth', 's visit', 'lafayette hs', 'oxford', 'stem', 'cory burt', 'education grants', 'mississippi']",R,Mississippi
487,SenHydeSmith,Great news today from that the is getting critical infrastructure funds Today amp I announced a 15 76M grant to continue making this a remarkable port of the future,0.3875,"['great news', 'critical infrastructure funds', '76m grant', 'remarkable port']",R,Mississippi
488,SenHydeSmith,MS waterways harbors and flood control projects will benefit from 2020 Work Plan with 46 5M allotted for work in our state This includes renewed attention to the Yazoo Backwater Area USACE,0.0,"['ms', 'waterways harbors', 'flood control projects', 'work plan', 'yazoo backwater', 'usace']",R,Mississippi
489,SenHydeSmith,BlackHistoryMonth focus 20 MS women were part of the Six Triple Eight the only all African American women s unit to serve overseas in WWII We recall their service and bravery as we work for a Congressional Gold Medal to honor them,0.0,"['blackhistorymonth', 'ms', 'triple', 'african', 'american women s unit', 'wwii', 'medal']",R,Mississippi
490,SenatorWicker,Now is not the time to pull back the United States must continue investing in a strong 355 ship Navy our standing on the world stage depends on it 355ships,0.21666666666666665,"['ship navy', 'world stage']",R,Mississippi
491,SenatorWicker, I joined amp in announcing a 15 76M grant for to make infrastructural upgrades,0.0,"['76m grant', 'infrastructural upgrades']",R,Mississippi
492,SenatorWicker,The original SHIPS Act was an important first step in showing the world the U S is serious about rebuilding our Navy but Congress can still do more 355ships,0.23833333333333334,"['ships', 'congress']",R,Mississippi
493,SenatorWicker,The is critically important to the Mississippi Gulf Coast economy Today and I announced a 15 76M grant to improve freight access and safety See more here,0.45,"['mississippi', 'gulf coast economy', '76m grant', 'freight access']",R,Mississippi
494,SenatorWicker,Two critical functions given by the Founders to Congress are to provide and maintain a Navy and fund national defense Congress ultimately sets the course for Navy shipbuilding Make no mistake there is much more work to be done,0.16666666666666666,"['critical functions', 'founders', 'congress', 'national defense', 'congress']",R,Mississippi
495,repdonyoung,The Yukon Quest is the only sled dog race that spans two countries and defending champion Brent Sass of Eureka has done it again From one sled dog musher to another congratulations to Brent and the entire team of sled dogs on your incredible victory YQ2020,0.3,"['yukon quest', 'dog race', 'brent sass', 'eureka', 'dog musher', 'brent', 'entire team', 'incredible victory', 'yq2020']",R,Alaska
496,repdonyoung,Helping Alaskans is the best part of my job and I encourage you to contact my Anchorage Fairbanks or Washington D C offices to see how we can help For a full list of services available through my office and to get in touch with me click here,0.5833333333333334,"['alaskans', 'anchorage fairbanks', 'washington d', 'c offices', 'full list']",R,Alaska
497,repdonyoung,The numbers for 2019 are in 59 684 calls and letters responded to 203 Capitol tours given to Alaskans 269 bills cosponsored 106 579 miles flown,0.0,"['capitol tours', 'alaskans', 'miles flown']",R,Alaska
498,repdonyoung,Today is Heart s WearRedDay Cardiovascular disease is the no 1 killer of women and I hope you ll go red today to raise awareness To learn more about risk symptoms and to find important tips for healthy living click here,0.35,"['heart', 'wearredday cardiovascular', 'risk symptoms', 'important tips']",R,Alaska
499,repdonyoung,Well it s true I am always watching the Transportation Committee,0.35,"['well', 'transportation committee']",R,Alaska
500,RepByrne,effort this week to revive the failed Equal Rights Amendment is blatantly unconstitutional even Justice Ginsburg agrees Just another sham vote by,-0.3,"['amendment', 'ginsburg', 'sham vote']",R,Alabama
501,RepByrne,What tragic news from Citronelle Please remember Dylan Turner s students and loved ones in your prayers during this painful time He was a special person who led an impactful life,-0.09821428571428571,"['tragic news', 'citronelle please', 'dylan turner', 's students', 'painful time', 'special person', 'impactful life']",R,Alabama
502,RepByrne,Proud that s budget includes my bill the Education Freedom Scholarships and Opportunity Act As the President said in the State of the Union no parent should be forced to send their child to a failing government school It s time for EducationFreedom,0.25,"['proud', 's budget', 'education freedom', 'scholarships', 'opportunity', 'government school', 's time', 'educationfreedom']",R,Alabama
503,RepByrne,FBF to October when we stormed the SCIF where Adam Schiff was holding secret impeachment proceedings Thank you for recognizing me yesterday at the White House for fighting hard against Democrats sham impeachment I ll continue to fight for what is right,-0.12119047619047618,"['fbf', 'october', 'scif', 'adam schiff', 'secret impeachment proceedings', 'thank', 'white house', 'sham impeachment']",R,Alabama
504,RepByrne,This impeachment sham cost loads of taxpayer dollars and prevented the government from doing important work for the American people I ve introduced the SHAM Act to find out just how much money and time was wasted You deserve accountability in government,0.0,"['impeachment sham cost loads', 'taxpayer dollars', 'important work', 'american people', 'sham', 'deserve accountability']",R,Alabama
505,RepMarthaRoby,During AmericanHeartMonth it s important to know about the lifestyle changes we can make to help prevent heart disease Here are some tips on how to keep your heart healthy,0.45,"['americanheartmonth', 'lifestyle changes', 'heart disease', 'heart healthy']",R,Alabama
506,RepMarthaRoby,Today on NationalInnovationDay we celebrate the many innovative minds across our country I encourage you to spark your creativity,0.5,"['nationalinnovationday', 'innovative minds']",R,Alabama
507,RepMarthaRoby,It was great to have Barbara Barrett in my office this morning We discussed important topics surrounding the amp both located in Montgomery Thank you for your strong commitment to our nation s defense amp the River Region,0.5444444444444445,"['barbara barrett', 'important topics', 'montgomery thank', 'strong commitment', 'nation s defense amp', 'region']",R,Alabama
508,RepMarthaRoby,It s easy to overlook how severe the flu virus can be Last flu season 42 9 million Americans got sick We re currently seeing a rise in flu like illnesses in Alabama amp it s important to take daily precautions to prevent the spread of germs Read more from my Weekly Column,0.08843537414965986,"['flu virus', 'flu season', 'alabama', 'read', 'weekly column']",R,Alabama
509,RepMarthaRoby,The appropriations process has officially begun We have much work to get done here in Congress amp many important issues to tackle As always stay up to date w the latest from Looking forward to the work ahead,0.4,"['appropriations process', 'congress', 'important issues', 'date w', 'looking']",R,Alabama
510,RepMikeRogersAL,Today s firstdistrictfriday features the Opelika Fire Department AL03,0.0,"['s firstdistrictfriday', 'opelika', 'fire department', 'al03']",R,Alabama
511,RepMikeRogersAL, statement on the successful counterterrorism operation in Yemen killing Qasem al Rimi the leader of al,0.75,"['successful counterterrorism operation', 'yemen', 'qasem', 'rimi']",R,Alabama
512,RepMikeRogersAL,Despite Nancy Pelosi s petty political games continues to win for the American people,0.26666666666666666,"['nancy pelosi', 'petty political games', 'american people']",R,Alabama
513,RepMikeRogersAL,I m proud to be a cosponsor of H Res 832 to disapprove of Speaker Pelosi s behavior I congratulate my colleague Rep Kay Granger R TX for spearheading this important resolution It s deeply unfortunate House Democrats refused to allow an up or down vote on this resolution,0.13611111111111115,"['h res', 'pelosi', 's behavior', 'rep kay granger r tx', 'important resolution', 'unfortunate house']",R,Alabama
514,RepMikeRogersAL,Speaker Pelosi s behavior at the State of the Union is an embarrassment to our nation The planned tearing up of the official copy of President Trump s speech was beneath contempt amp degraded the office of Speaker She should be ashamed of her juvenile amp petty actions,-0.25,"['pelosi', 's behavior', 'official copy', 'trump', 's speech', 'contempt amp', 'juvenile amp', 'petty actions']",R,Alabama
515,Robert_Aderholt, For two years in a row now Dems aren t even going to bother proposing their own budget They don t want people to see th,0.6,"['dems', 'aren t', 'own budget', 'don t']",R,Alabama
516,Robert_Aderholt, Pelosi and her abortion extremist colleagues are still blocking a vote on the BornAlive Act We re asking for something,0.0,"['pelosi', 'abortion extremist colleagues', 'bornalive']",R,Alabama
517,Robert_Aderholt, No young person who grows up in foster care should experience homelessness once they set out on their own I m thrille,0.27499999999999997,"['young person', 'foster care', 'experience homelessness', 'm thrille']",R,Alabama
518,Robert_Aderholt, Never thought I d agree with RBG The deadline for the ERA expired,0.0,"['never', 'rbg', 'era']",R,Alabama
519,Robert_Aderholt, 225 000 new jobs in January 3 6 unemployment Record high consumer confidence Highest labor force participation since,0.1481818181818182,"['new jobs', 'january', 'record', 'high consumer confidence', 'highest', 'labor force participation']",R,Alabama
520,RepMoBrooks,Top 5 Socialist Dems in NewHampshirePrimary Sanders Buttigieg Klobuchar Warren Biden ALL say Yes American taxpayers must be forced to pay for illegal alien health care Their stances guarantee vote in Congress on illegalalien healthcare issue Where do you stand,-0.11000000000000001,"['top', 'dems', 'newhampshireprimary sanders buttigieg klobuchar warren biden all', 'american taxpayers', 'illegal alien health care', 'congress', 'illegalalien healthcare issue']",R,Alabama
521,RepMoBrooks, Staring the show with NOW And will be on with us at 3 35,0.0,"['staring', 'now']",R,Alabama
522,RepMoBrooks, We have a healthy spacecraft Congratulations to the and teams on a successful launch of SolarO,0.625,"['healthy spacecraft', 'congratulations', 'successful launch', 'solaro']",R,Alabama
523,RepMoBrooks, MISSION SUCCESS United Launch Alliance s AtlasV deploys SolarOrbiter for and 137 for ULA,0.3,"['mission success', 'launch', 'alliance s', 'atlasv', 'solarorbiter', 'ula']",R,Alabama
524,RepMoBrooks, Warns the Socialists Are Gaining If the Trendlines Continue Then We Will Be a Socialist Nation htt,0.0,"['warns', 'socialists', 'trendlines continue', 'will be', 'nation']",R,Alabama
525,USRepGaryPalmer,Honored to receive s True Blue Award from today This award is presented to Members with a record of supporting life family values and religious liberty Thank you FRC I m grateful for your friendship and important work TrueBlueAward,0.2,"['honored', 'true', 'blue award', 'life family values', 'religious liberty', 'thank', 'frc', 'important work', 'trueblueaward']",R,Alabama
526,USRepGaryPalmer,Yesterday I joined on s After Hours to talk about President Trump s acquittal the Iowa Caucuses Republican goals going forward and more Watch below,0.5,"['yesterday', 'trump', 's acquittal', 'iowa caucuses republican', 'watch']",R,Alabama
527,USRepGaryPalmer, blasts egregious legislation that could threaten Alabama s right to work status alpolitics By yhn https,0.2857142857142857,"['blasts egregious legislation', 'alabama', 'status alpolitics', 'yhn https']",R,Alabama
528,USRepGaryPalmer,Tonight I voted no on the PROAct If this bill is pro anything it s pro union bosses not pro American or pro freedom It hurts workers the economy employers and individual right to association by preempting state right to work laws Full statement,0.18428571428571427,"['proact', 'pro union bosses', 'pro freedom', 'hurts workers', 'economy employers', 'individual right', 'full statement']",R,Alabama
529,USRepGaryPalmer,Those who are railing against the Trump administration s cuts to the Medicaid program are railing against a policy that doesn t exist No the Trump administration is not cutting Medicaid,0.3,"['trump', 'administration s cuts', 'medicaid', 'doesn t', 'trump', 'medicaid']",R,Alabama
530,RepTerriSewell,To set the record straight Roger Stone LIED to Congress under oath THREATENED witnesses to cover up Trump Campaign contacts with Wikileaks amp was found GUILTY on all charges It goes without saying that POTUS shouldn t meddle in the criminal trial of his own campaign adviser,-0.024999999999999994,"['roger stone lied', 'congress', 'threatened', 'trump campaign', 'wikileaks', 'guilty', 'potus', 'shouldn t', 'criminal trial', 'own campaign adviser']",D,Alabama
531,RepTerriSewell,Today in BlackHistoryMonth we recognize one of the greatest scientists of the 20th century George Washington Carver Carver was born into slavery later served as a professor at and developed over 100 products using just peanuts,0.275,"['blackhistorymonth', '20th century', 'george washington carver carver']",D,Alabama
532,RepTerriSewell,That s why I introduced a bill today with amp today to establish a new source of funding through the EPA for families to install and maintain septic systems,0.13636363636363635,"['new source', 'epa', 'septic systems']",D,Alabama
533,RepTerriSewell,In Alabama and many rural areas across the country failing septic tanks and inadequate unsafe wastewater infrastructure are far too common and pose health economic and environmental risks to our communities,0.1,"['alabama', 'rural areas', 'septic tanks', 'inadequate unsafe wastewater infrastructure', 'pose health', 'environmental risks']",D,Alabama
534,RepTerriSewell,Save the date I m thrilled to be hosting three upcoming Congress In Your Community Town Hall Meetings and Resource Fairs next week in Dallas Montgomery and Jefferson Counties Please visit our Facebook page for details,0.3,"['save', 'congress', 'your', 'community town hall', 'meetings', 'resource fairs', 'dallas montgomery', 'jefferson', 'please', 'facebook']",D,Alabama
535,RepRickCrawford,I know today that Billie Sue Hoggard left this Earth proud of her litany of accomplishments and the positive transformations she made in Arkansas Billie Sue was a living proof that with passion tenacity and a tireless work ethic an individual can accomplish anything,0.25681818181818183,"['billie sue hoggard', 'earth', 'positive transformations', 'arkansas billie sue', 'passion tenacity', 'tireless work ethic']",R,Arkansas
536,RepRickCrawford,China does nothing random or without purpose in their actions This incident needs to be seen for what it was and what it may have led to I ve always said we are one failure of imagination away from a national security event That includes agriculture,-0.4083333333333333,"['china', 'incident needs', 'national security event']",R,Arkansas
537,RepRickCrawford,I hope you ll join me and others who are praying for the officers who responded this morning They never hesitate and this situation was no different,0.0,[],R,Arkansas
538,RepRickCrawford,While more is to be learned reports out of Forrest City indicate that two law enforcement officers were injured when they responded to an incident at Walmart One was airlifted with the injuries they sustained I am eager to learn more as it becomes available from authorities,0.4666666666666666,"['forrest', 'law enforcement officers', 'walmart']",R,Arkansas
539,RepRickCrawford, conducts this interview with on The interview is here,0.0,[],R,Arkansas
540,RepFrenchHill,I was glad to see Bill Crismon who was in D C representing to help advocate for his fellow survivors those still undergoing treatment and those who have lost their lives to stomach cancer Funding research into diseases like these is vital to finding a cure,0.3,"['bill crismon', 'fellow survivors', 'stomach cancer', 'funding']",R,Arkansas
541,RepFrenchHill,Today I spoke with Terry Sheeler David Henry and Robert Blachowitccz who are representatives of the voice about how Congress can best support the visually impaired so that they can be successful and independent in their daily lives,0.35,"['terry sheeler david henry', 'robert blachowitccz', 'congress', 'daily lives']",R,Arkansas
542,RepFrenchHill,Today I met with Emily an athlete participating in the Unified Champion Schools program and folks from to discuss this program and the importance of giving students the opportunity of being integrated with their peers SOHillDay InclusiveRevolution,0.0,"['emily', 'unified', 'champion schools', 'sohillday inclusiverevolution']",R,Arkansas
543,RepFrenchHill,All people around the world regardless of their religious affiliation deserve the same freedom to practice their chosen religion as we enjoy here in the United States Read the article below to learn about my efforts to bring awareness to this disparity,0.13333333333333333,"['world regardless', 'religious affiliation deserve', 'read']",R,Arkansas
544,RepFrenchHill,Last week I was proud to host my SOTU guest Dr Brian Mitchell whose partnership with my office was the inspiration for the WWI Valor Medals Review Act I am also pleased that the House passed my bill to honor AR civil rights champion Scipio Jones,0.43333333333333335,"['sotu', 'dr brian mitchell', 'wwi valor medals review', 'ar', 'civil rights champion', 'scipio jones']",R,Arkansas
545,rep_stevewomack,U S Marshals and Fort Smith Police are currently searching Fort Smith for a suspect that is considered armed and dangerous You may notice heightened law enforcement activity in the area If you see something suspicious call 911 Thank you,-0.3,"['marshals', 'smith', 'smith', 'law enforcement activity', 'suspicious call', 'thank']",R,Arkansas
546,rep_stevewomack, That s me on the right Thank you stevewomack for setting up this meeting,0.2857142857142857,['thank'],R,Arkansas
547,rep_stevewomack,In every business in every city in every state a budget is done Yet here in the House in the greatest country in the world we re not doing a budget It s time for Democrats to roll up their sleeves and join us at the table to do the difficult work,0.25,"['s time', 'difficult work']",R,Arkansas
548,rep_stevewomack,House Dems should recognize that a failure to budget is a failure to govern A budget is what tells us what we need to know about how much we re spending what we re raising in revenue and the impact of our deficits and debt on our economy and the American people,-0.10833333333333335,"['dems', 'a budget', 're spending', 're raising', 'american people']",R,Arkansas
549,rep_stevewomack,House Democrats will not produce a budget They are punting one of our most basic responsibilities in Congress That s not leadership,0.25,"['basic responsibilities', 'congress']",R,Arkansas
550,RepWesterman, We had a great time discussing the Republican Party s conservation roots innovating our way out of climate change and,0.8,"['great time', 'republican', 'party s conservation roots']",R,Arkansas
551,RepWesterman, Fire mitigation amp forest management are two of the most critical issues facing America s working forests Grateful to,0.25,"['fire mitigation amp forest management', 'critical issues', 'america', 'grateful']",R,Arkansas
552,RepWesterman,Today many of our Jewish friends around the world are honoring Tu BiShvat the New Year of the Trees Planting trees is always a reason to celebrate,0.21212121212121213,"['jewish friends', 'tu bishvat', 'new year', 'trees planting']",R,Arkansas
553,RepWesterman, While in DC for the Council Annual Mtg this week our team met with stevewomack,0.0,"['dc', 'annual mtg']",R,Arkansas
554,RepWesterman, No one likes dealing with the federal bureaucracy It s bloated mismanaged amp inefficient But it doesn t have to be,0.0,"['federal bureaucracy', 'doesn t']",R,Arkansas
555,RepOHalleran,When it comes to our state s growing economy creating good quality jobs that support a family is a key priority of mine I m looking forward to seeing all of the good the USMCA will do in AZ01 Read my recent op ed about this important trade agreement,0.36,"['state s', 'quality jobs', 'key priority', 'usmca', 'az01 read', 'recent op', 'important trade agreement']",D,Arizona
556,RepOHalleran,Thank you for stopping by AZ01,0.0,"['thank', 'az01']",D,Arizona
557,RepOHalleran,Tomorrow my staff will be holding AZ01 mobile office hours in Show Low and Concho I encourage you to stop by if you have a question about a federal agency or program Details below and on my Facebook page,0.0,"['tomorrow', 'az01', 'mobile office hours', 'low', 'concho', 'federal agency', 'details', 'facebook']",D,Arizona
558,RepOHalleran,As we evaluate the future of self driving cars amp the good they can do for AZ01 communities we must ensure that safety is a top priority My remarks in an subcommittee hearing,0.39999999999999997,"['cars amp', 'az01', 'top priority', 'subcommittee hearing']",D,Arizona
559,RepOHalleran,We must come together in a bipartisan bicameral way to find real solutions to address our national debt and deficit not slash programs on which hardworking AZ01 families and rural communities rely,0.1,"['bipartisan bicameral way', 'real solutions', 'national debt', 'az01', 'rural communities']",D,Arizona
560,RepKirkpatrick,is hiring Visit to learn more,0.5,['visit'],D,Arizona
561,RepKirkpatrick,The RemainInMexico policy makes seeking asylum in the US nearly impossible We saw what happened in 1939 when the US turned away asylum seekers and we are letting it happen again,-0.6666666666666666,"['remaininmexico', 'asylum seekers']",D,Arizona
562,RepKirkpatrick,There are currently museums in Washington DC for stamps buildings amp spies but not for half of the population It s time to change that I m proud to support the Smithsonian Women s History Museum Act to tell and preserve the rich history of America s women InspiredByHer,0.2520833333333333,"['washington dc', 'stamps buildings amp spies', 's time', 'smithsonian', 'history', 'museum act', 'rich history', 'america', 's women', 'inspiredbyher']",D,Arizona
563,RepKirkpatrick,Legislators who oppose women s equality are trying to use abortion to distract from their real motivation for opposing the ERA perpetuating the second class status of women in America A vote against the ERA is a vote to preserve gender discrimination,0.1,"['women s equality', 'real motivation', 'era', 'class status', 'america', 'a vote', 'era', 'gender discrimination']",D,Arizona
564,RepKirkpatrick,Despite s claims he won t touch Social Security or Medicare the TrumpBudget cuts 24 Billion from Social Security More broken promises,0.04166666666666666,"['s claims', 't touch', 'social security', 'medicare', 'trumpbudget', 'billion', 'social security']",D,Arizona
565,RepRaulGrijalva,Trump s MuslimBan is discriminatory plain and simple America should be a symbol of hope tolerance and inclusion not a bastion of hatred and division I support the NoBan Act to end the Muslim Ban once and for all,-0.10714285714285714,"['trump', 'muslimban', 'america', 'hope tolerance', 'noban', 'muslim ban']",D,Arizona
566,RepRaulGrijalva,The public has no idea what happens at behind closed doors When ask how policies were written and who they ll benefit they almost always deflect us Today we re voting on subpoena authority to combat Trump s CultureOfCorruption,-0.16666666666666666,"['ll benefit', 'subpoena authority', 'trump', 'cultureofcorruption']",D,Arizona
567,RepRaulGrijalva,We need to end the CultureOfCorruption and hold and polluting industries accountable is voting today to grant me the authority to issue legally enforceable subpoenas Watch live,0.16818181818181818,"['cultureofcorruption', 'watch']",D,Arizona
568,RepRaulGrijalva, We ve sent 26 information requests to We ve received complete responses twice The Trump admin thinks if they igno,0.1,"['information requests', 'complete responses', 'trump']",D,Arizona
569,RepRaulGrijalva, Reminder refused to support DHS funding in December because it continued allowing the Trump Admin to a,0.0,"['reminder', 'dhs', 'december', 'trump admin']",D,Arizona
570,RepGosar, WATCH Ranking Member Jordan s opening statement from today s full committee hearing explaining the importance of,0.35,"['watch ranking member jordan', 'full committee hearing']",R,Arizona
571,RepGosar, In January CBP seized 53 736lbs of cocaine heroin fentanyl marijuana and meth 50 307lbs on the SW border alone In the first,0.25,"['january cbp', 'cocaine heroin fentanyl marijuana', 'sw border']",R,Arizona
572,RepGosar, Wolf I m proud of the Border Patrol s role in securing our Nation My pride can only be matched by gratitude for agents that stand,0.4,"['wolf', 'border patrol s role', 'nation']",R,Arizona
573,RepGosar,Nothing to see here,0.0,[],R,Arizona
574,RepGosar,Why are President s poll numbers soaring Because kept his promise to remember the forgotten and he s continued to push ahead with policies to help them and every American,0.0,['president s poll numbers'],R,Arizona
575,RepAndyBiggsAZ,Next week I ll be leading a delegation back to the southern border We will be viewing the progress that President has made w the border fence amp talking to officials on the ground to find out what Congress must do to secure the border amp keep Americans safe,0.18,"['southern border', 'border fence amp', 'congress', 'border amp']",R,Arizona
576,RepAndyBiggsAZ, Mesa Police Officers visit students at Silver Valley Elementary in SE Mesa for career day,0.3,"['mesa', 'officers', 'visit students', 'silver', 'mesa', 'career day']",R,Arizona
577,RepAndyBiggsAZ, We join the efforts of 60 organizations in amp near MesaAZ amp have become the first fire amp medical department in Arizona,0.11666666666666665,"['mesaaz', 'fire amp', 'medical department', 'arizona']",R,Arizona
578,RepAndyBiggsAZ,is doing a great job protecting Arizona against the rogue 9th Circuit Court of Appeals Congrats to him and his team on a job well done defending the integrity of elections for AZ voters Hopefully the Supreme Court will hear this case,0.8,"['great job', 'arizona', 'circuit court', 'congrats', 'az', 'supreme court']",R,Arizona
579,RepAndyBiggsAZ, Wolf I m proud of the Border Patrol s role in securing our Nation My pride can only be matched by gratitude for agents that stand,0.4,"['wolf', 'border patrol s role', 'nation']",R,Arizona
580,RepDavid,Great to have so many AZ06 constituents stopping by our Open House today We appreciate you taking time to come and talk with us and look forward to continuing to work with you,0.43333333333333335,"['az06', 'open house']",R,Arizona
581,RepDavid,Two years after TaxReform we are seeing incredible growth Consumer confidence is up Low wage earners are experiencing gains Unemployment remains low Watch me speak about our economic data during the hearing,0.275,"['taxreform', 'incredible growth consumer confidence', 'low', 'wage earners', 'unemployment', 'watch', 'economic data']",R,Arizona
582,RepDavid,It can be a terrifying situation for patients when suddenly and unexpectedly they have their previous provider go out of network This is why I am working with to protect patients in the Ways and Means SurpriseBilling legislative package,-0.26666666666666666,"['previous provider', 'ways', 'means surprisebilling', 'legislative package']",R,Arizona
583,RepDavid,Excited to hear will be training the next generation of pilots in AZ06 at their new United Aviate Academy Learn more about the Aviate Academy here,0.25284090909090906,"['excited', 'az06', 'aviate', 'learn', 'aviate']",R,Arizona
